title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
sales manager,egypt africa,"reporting, microsoft excel, google sheets, sales field, management, business administration, crm, customer service",on-site,full time,manager,,2 months ago,katameya, cairo, egypt
sales manager,hook solutions,"sales, sales target, distirbution, business development, communication, customer service, trade, wholesale",on-site,full time,manager,,2 months ago,obour city, cairo, egypt
admin operations senior specialist,al ahly momkn for e-payment,"administration, microsoft office, communication, management",on-site,full time,experienced,,2 months ago,maadi, cairo, egypt
senior google ads & lead generation specialist,vip rent a car - l.l.c,"ads, google ads, lead generation",remote,full time,manager,,2 months ago,cairo,cairo, egypt
teamleader,five max digital marketing llc,"fashion retail, customer support",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
ceo personal & office assistant,canadian physio center,"communication, sales, customer care, administration, assistant, office management, problem solving",on-site,full time,experienced,,2 months ago,sheikh zayed, giza, egypt
"construction manager ""civil""",maalem-group,"civil engineering, construction, engineering, project management, site supervision, budget management, contract negotiation, risk management, quality assurance",on-site,full time,manager,,2 months ago,new cairo, cairo, egypt
digital marketing specialist,kna,"seo, video creation, digital marketing, e-marketing, marketing strategy, social media management, content creation",hybrid,full time,entry level,,2 months ago,giza,giza, egypt
call center agent ( b1+ english speakers ),etisalat egypt,"call center, customer care, customer service, customer support, english, customer relations, custom clearance, customs clearance, customer satisfaction",on-site,full time,entry level,,2 months ago,maadi, cairo, egypt
trade finance - temporary,sipes,"trade finance, finance",on-site,full time,experienced,,2 months ago,heliopolis, cairo, egypt
regional sales manager - cairo,sipes,"regional sales, sales target",on-site,full time,manager,,2 months ago,cairo,cairo, egypt
human resources generalist,selema gold,"generalist, human, human resources, human resources (hr), human resources generalist, business administration, hr, hris, management",on-site,full time,experienced,,2 months ago,nasr city, cairo, egypt
operations manager ( food & beverage ),raghaeb for managing restaurants (abu tarek kushari),"management, marketing, sales, microsoft office, training, planning, accounting, administration",on-site,full time,manager,,2 months ago,new cairo, cairo, egypt
account manager,raghaeb for managing restaurants (abu tarek kushari),"finance, accounting, account management, business administration, communication, customer service, crm, management, sales",on-site,full time,manager,,2 months ago,new cairo, cairo, egypt
full stack developer,actum.cx,"software development, javascript, computer science, information technology (it)",remote,full time,entry level,,2 months ago,cairo,cairo, egypt
sales manager,sholex trade,"sales target, sales, sales planning, negotiation, administration, business administration, communication",on-site,full time,manager,,2 months ago,nasr city, cairo, egypt
call center manager,lavita developments,"customer support, call center, sales, call center management, customer service, team leadership, performance management",on-site,full time,manager,,2 months ago,nasr city, cairo, egypt
customer service manager,lavita developments,"leadership, strategic planning, customer relationship management (crm), problem solving, communication, team management, management, customer support, customer service",on-site,full time,manager,,2 months ago,nasr city, cairo, egypt
interior designer,ahmed el-sallab,"autocad, interior design, attention to detail, client communication, creativity, architecture, design, sketchup",on-site,full time,entry level,,2 months ago,cairo,cairo, egypt
accounting manager,mena for contracting & trading,"accounting, finance, financial analysis, financial management",on-site,full time,manager,,2 months ago,alexandria,alexandria, egypt
"service, maintenance and installation engineer (male)",confidential,"electronics, maintenance, mechanical, installation, engineering, computer skills",on-site,full time,experienced,,2 months ago,nasr city, cairo, egypt
sr. financial planning analyst,daf holding,"finance, financial analysis, financial planning",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
instrumentation sales engineer,astronic,"instrumentation, automation, measuring equipment, field instruments, engineering services",on-site,full time,experienced,,2 months ago,nasr city, cairo, egypt
