title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Senior Mechanical Maintenance Engineer,Tank -,"10th of Ramadan City, Cairo, Egypt ","['electrical engineering', 'mechanical maintenance', 'engineering', 'maintenance', 'mechanical', 'mechanical engineering']",On-site,Full Time,Entry Level,Confidential,3 hours ago
Operations & Administration Manager,Angel group  -,"Cairo, Egypt ","['administration', 'microsoft office', 'office management']",On-site,Full Time,Manager,Confidential,3 hours ago
Sales Manager - Real Estate,Confidential -,"New Cairo, Cairo, Egypt ","['manager', 'sales manager', 'sales director', 'sales skills', 'sales', 'management', 'marketing']",Hybrid,Full Time,Manager,Confidential,3 hours ago
International Trading Specialist & Business Development,Posco Intl Cairo office   -,"Maadi, Cairo, Egypt ","['marketing', 'sales', 'sales and marketing', 'sales skills', 'bachelors degree', 'international business', 'ms office']",On-site,Full Time,Experienced,Confidential,3 hours ago
Business Development Assistant,Posco Intl Cairo office   -,"Maadi, Cairo, Egypt ","['marketing', 'sales', 'sales and marketing', 'sales skills', 'bachelors degree', 'international business', 'ms office']",On-site,Full Time,Entry Level,Confidential,3 hours ago
Senior Landscape Engineer,PRE Group -,"New Cairo, Cairo, Egypt ","['landscape engineering', 'landscape maintenance', 'landscape design', 'irrigation systems', 'material selection', 'quality assurance', 'snag lists', 'value engineering', 'project management']",On-site,Full Time,Experienced,Confidential,3 hours ago
Telesales Agent,Views-EG -,"New Cairo, Cairo, Egypt ","['customer service', 'sales', 'telesales', 'communication skills', 'active listening', 'persuasion', 'problem-solving', 'crm software']",On-site,Full Time,Entry Level,Confidential,4 hours ago
Senior Budget & Cost Control Accountant,Confidential -,"Obour City, Cairo, Egypt ","['accounting', 'analysis', 'control', 'cost', 'cost control', 'finance', 'financial analysis']",On-site,Full Time,Experienced,Confidential,4 hours ago
Senior Sales Engineer,Target Engineering -,"Cairo, Egypt ","['engineering', 'electrical engineering', 'automation engineering', 'fire protection engineering', 'automation', 'computer science', 'information technology (it)', 'electronics', 'sales']",On-site,Full Time,Experienced,Confidential,4 hours ago
Payroll & Personnel Specialist,GROOVY Medical Spa -,"Heliopolis, Cairo, Egypt ","['communication', 'hr', 'human resources', 'human resources (hr)', 'payroll', 'personnel', 'management', 'compensation', 'hris']",On-site,Full Time,Experienced,Confidential,4 hours ago
Export Manager,Confidential -,"6th of October, Giza, Egypt ","['food', 'export', 'logistics', 'communication', 'management', 'sales', 'export sales', 'b2b']",On-site,Full Time,Manager,Confidential,4 hours ago
Retail Sales Representative - Medical,Purity Pet Food -,"Cairo, Egypt ","['medical', 'retail', 'retail sales', 'customer service']",On-site,Full Time,Experienced,Confidential,4 hours ago
Human Resources Manager,Holw El Sham  -,"6th of October, Giza, Egypt ","['payroll', 'human resources (hr)', 'personnel', 'recruitment', 'training', 'benefits management']",On-site,Full Time,Manager,Confidential,4 hours ago
HR Manager,Confidential -,"10th of Ramadan City, Cairo, Egypt ","['employee relations', 'human resources', 'human resources (hr)', 'management', 'microsoft office', 'recruitment', 'sourcing', 'talent acquisition']",On-site,Full Time,Manager,Confidential,4 hours ago
Retail Sales Representative,Purity Pet Food -,"Cairo, Egypt ","['customer service', 'retail sales', 'sales']",On-site,Full Time,Experienced,Confidential,4 hours ago
Pre-Sales Engineer – Junior,Target Integrated Systems -,"Maadi, Cairo, Egypt ","['pre-sales support', 'technical presentations', 'it solution design', 'customer needs analysis', 'proposal development', 'networking fundamentals', 'technical documentation']",On-site,Full Time,Entry Level,Confidential,4 hours ago
Social Media Specialist,realme -,"Nasr City, Cairo, Egypt ","['social media', 'content creation', 'instagram', 'tiktok', 'linkedin', 'design', 'data analysis', 'e-marketing']",On-site,Full Time,Experienced,Confidential,4 hours ago
Retail Sales Manager,Purity Pet Food -,"Cairo, Egypt ","['retail', 'retail sales', 'customer service']",On-site,Full Time,Manager,Confidential,4 hours ago
Account Officer,chineses contracting tong long group -,"Badr City, Cairo, Egypt ","['accounting', 'general ledger (gl)', 'financial reporting', 'microsoft excel', 'tax compliance', 'erp systems']",On-site,Full Time,Experienced,Confidential,4 hours ago
HR Coordinator,Confidential -,"Katameya, Cairo, Egypt ","['human resources (hr)', 'hr', 'communication skills', 'recruitment', 'administration', 'english', 'microsoft office', 'ms office', 'office']",On-site,Full Time,Experienced,Confidential,5 hours ago
Import Coordinator,Rockal -,"Nasr City, Cairo, Egypt ","['supply chain', 'import / export', 'logistics operations']",On-site,Full Time,Entry Level,Confidential,5 hours ago
Sales Specialist,Dr.Greiche  -,"10th of Ramadan City, Sharqia, Egypt ","['automotive sales', 'automotive spare parts', 'retail business', 'outdoor sales', 'salesb2b', 'b2b', 'customer service', 'retail sales']",Hybrid,Full Time,Experienced,Confidential,5 hours ago
Cost Accountant,Hyma Plastic -,"Giza, Giza, Egypt ","['data reporting', 'financial analysis', 'inventory management', 'budgeting and forecasting', 'cost accounting']",On-site,Full Time,Experienced,Confidential,5 hours ago
Marketing Executive,IEI -,"10th of Ramadan City, Sharqia, Egypt ","['marketing', 'market research', 'b2b', 'business administration', 'communication', 'crm', 'digital marketing', 'sales']",On-site,Full Time,Experienced,Confidential,5 hours ago
Business Development & Sales Engineer,IEI -,"10th of Ramadan City, Sharqia, Egypt ","['business development', 'sales', 'sales target', 'communication', 'development', 'engineering', 'management']",On-site,Full Time,Manager,Confidential,5 hours ago
Corporate Planning & Governance Manager,IEI -,"10th of Ramadan City, Sharqia, Egypt ","['corporate planning', 'financial planning & analysis', 'management', 'accounting', 'business development', 'cfa', 'corporate sales', 'finance']",On-site,Full Time,Experienced,Confidential,5 hours ago
Taxation Officer/ Executive,Dabur -,"New Cairo, Cairo, Egypt ","['taxation', 'accounting', 'finance', 'sap', 'tax laws', 'microsoft excel', 'financial analysis', 'erp']",On-site,Full Time,Entry Level,Confidential,5 hours ago
Product Owner,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ","['agile', 'computer science', 'information technology (it)', 'software development', 'product', 'pharmacy management systems', 'digital products']",On-site,Full Time,Entry Level,Confidential,5 hours ago
Social Media Specialist,Ninos Kids Wear  -,"Maadi, Cairo, Egypt ","['e-marketing', 'marketing', 'social media', 'design', 'communication', 'online marketing', 'web design', 'writing']",On-site,Full Time,Experienced,Confidential,5 hours ago
Finance Internship,Hayat -,"Nasr City, Cairo, Egypt ","['accounting', 'financial analysis', 'finance', 'reporting']",On-site,Full Time,Entry Level,Confidential,5 hours ago
IT Application Support,EAST  -,"Maadi, Cairo, Egypt ","['application support', 'technical support']",On-site,Full Time,Entry Level,Confidential,6 hours ago
Pattern Maker,Angel group  -,"Abbassia, Cairo, Egypt ","['pattern making', 'size grading', 'time management', 'cad software (gerber, lectra, etc.)', 'fashion retail', 'fashion design', 'fashion accessories', 'design']",On-site,Full Time,Experienced,Confidential,6 hours ago
Sales Agent - Fashion,Angel group  -,"Abbassia, Cairo, Egypt ","['sales strategy', 'client relationship management', 'negotiation', 'time management', 'market research', 'communication', 'presentation skills']",On-site,Full Time,Experienced,Confidential,6 hours ago
Senior Brand & Visual Designer,Amad llc -,"Cairo, Egypt ","['design', 'adobe photoshop', 'graphic design', 'branding', 'brand development', 'web design']",Remote,Freelance / Project,Experienced,Confidential,6 hours ago
Fashion Designer,Angel group  -,"Abbassia, Cairo, Egypt ","['trend analysis', 'children’s apparel design', 'team collaboration', 'adobe illustrator', 'technical drawing', 'time management', 'pattern making', 'textile selection']",On-site,Full Time,Experienced,Confidential,6 hours ago
Architect,TRAVCO GROUP -,"Sheikh Zayed, Giza, Egypt ","['architecture', 'autocad', 'technical office', 'revit', 'construction', 'engineering', 'architectural design', 'computer science', 'drawing']",On-site,Full Time,Entry Level,Confidential,6 hours ago
