title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Furniture Showroom Sales,Manzzeli.com  -,"Nasr City, Cairo, Egypt ","['retail', 'sales', 'sales target', 'b2b sales', 'b2b', 'corporate sales', 'crm', 'microsoft office', 'client relationship']",On-site,Full Time,Entry Level,Confidential,2 months ago
MTS Enterprise Annual Bootcamp 2026 - Quality Control,MTS-IT -,"Maadi, Cairo, Egypt ","['software testing life cycle', 'api testing']",On-site,Internship,Entry Level,Confidential,2 months ago
MTS Enterprise Annual Bootcamp Software Development,MTS-IT -,"Maadi, Cairo, Egypt ","['software development', 'java software development']",On-site,Internship,Entry Level,Confidential,2 months ago
Sales Manager,Confidential -,"Cairo, Egypt ","['indoor sales', 'sales', 'communication', 'fashion', 'leadership', 'negotiation', 'retail', 'sales target']",On-site,Full Time,Experienced,Confidential,2 months ago
Finance Manager,Semak -,"Dokki, Giza, Egypt ","['accounting', 'finance', 'financial analysis', 'financial management', 'budgeting', 'cma', 'erp']",On-site,Full Time,Manager,Confidential,2 months ago
Commercial Sales Manager,United Elite Company      -,"Cairo, Egypt ","['commercial sales', 'sales', 'sales target', 'administration', 'business administration', 'business development', 'communication']",Remote,Full Time,Manager,Confidential,2 months ago
Remote Tele sales Representative,United Elite Company      -,"Cairo, Egypt ","['sales', 'customer support', 'customer service', 'communication', 'negotiation', 'telesales']",Remote,Full Time,Experienced,Confidential,2 months ago
HR Assistant,Billqode -,"Sheraton, Cairo, Egypt ","['administration', 'human resources (hr)', 'microsoft office', 'office management', 'recruitment support', 'onboarding', 'data entry']",On-site,Internship,Entry Level,Confidential,2 months ago
Cost Engineer,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt ","['cost management', 'budgeting', 'financial analysis', 'cost estimation', 'project management', 'analytical thinking', 'reporting']",Hybrid,Full Time,Experienced,Confidential,2 months ago
Customer Service Clerk,Caldo e. Freddo -,"Haram, Giza, Egypt ","['sales', 'customer support', 'customer care', 'communication', 'problem-solving', 'active listening', 'conflict resolution', 'crm software', 'time management']",On-site,Full Time,Experienced,Confidential,2 months ago
Networks & IT Technical Trainer,GB Corp -,"15th May City, Cairo, Egypt ","['networks', 'computer science', 'technical support', 'networking', 'cisco', 'training', 'information technology (it)']",On-site,Full Time,Entry Level,Confidential,2 months ago
Customer Service Administrator,ElTarek Group -,"Alibrahimiyyah, Alexandria, Egypt ","['business development', 'e-marketing', 'social media', 'customer service', 'crm', 'communication', 'management']",On-site,Full Time,Experienced,Confidential,2 months ago
Business Developer - Sales,Zain -,"Maadi, Cairo, Egypt ","['sales field', 'business development', 'sales', 'sales target', 'software development', 'outdoor sales', 'client relationship management', 'negotiation']",On-site,Full Time,Entry Level,Confidential,2 months ago
Senior Marketing Manager,Twindix Global Inc. -,"Cairo, Egypt ","['marketing strategy', 'organic social media', 'viral content', 'short-form video', 'concentration', 'tiktok marketing', 'instagram reels', 'youtube shorts', 'social media growth']",Remote,Full Time,Senior Management,Confidential,2 months ago
Workforce & Planning Specialist,Etisalat Egypt -,"Cairo, Egypt ","['workforce', 'planning', 'resource planning', 'data analysis', 'reporting', 'performance analysis', 'scheduling', 'proplem solving', 'forecasting']",On-site,Full Time,Experienced,Confidential,2 months ago
محاسب,شركة أون تايم للخدمات اللوجستية -,"Beni Suef, Egypt ","['المحاسبة', 'microsoft excel', 'البرامج المحاسبية']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Graphic Designer,Confidential -,"Alexandria, Egypt ","['adobe illustrator', 'design', 'graphic design', 'adobe photoshop']",On-site,Full Time,Experienced,Confidential,2 months ago
Oracle Developer,El Mohandess Print House -,"10th of Ramadan City, Sharqia, Egypt ","['oracle pl/sql', 'database design', 'data modeling', 'problem solving', 'oracle reports', 'oracle forms']",On-site,Full Time,Entry Level,Confidential,2 months ago
Sales Engineer - Wiring Devices,SAS For Electrical Industries Company   -,"Cairo, Egypt ","['customer service', 'sales target achievement', 'sales strategy', 'product knowledge (wiring devices)', 'client relationship management', 'negotiation', 'communication skills']",Hybrid,Full Time,Entry Level,Confidential,2 months ago
HR Supervisor,Istinara  -,"Cairo, Egypt ","['human resources (hr)', 'personnel', 'microsoft office', 'recruitment', 'hr policies', 'hr systems', 'leadership']",On-site,Full Time,Experienced,Confidential,2 months ago
IT Specialist,ADCONS -,"Cairo, Egypt ","['computer science', 'customer service', 'information technology (it)', 'network', 'network administration', 'technical support', 'troubleshooting', 'system troubleshooting', 'hardware installation']",On-site,Full Time,Entry Level,Confidential,2 months ago
Java Developer,Afaqy -,"Maadi, Cairo, Egypt ","['java se', 'computer science', 'computer engineering', 'information technology (it)', 'java ee', 'socket programming', 'spring framework', 'maven']",Hybrid,Full Time,Experienced,Confidential,2 months ago
Senior Graphic Designer,Majestic Pharmaceuticals -,"New Cairo, Cairo, Egypt ","['adobe illustrator', 'adobe photoshop', 'graphic design', 'design', 'adobe illustrator', 'branding', 'typography', 'layout design']",On-site,Full Time,Experienced,Confidential,2 months ago
Head Chef | Fine Dining | Libya,Alrafahiya -,"Cairo, Egypt ","['team leadership', 'hospitality', 'hospitality management', 'english fluency', 'communication', 'international cuisine', 'kitchen management', 'guest experience', 'cooking']",On-site,Full Time,Manager,Confidential,2 months ago
Sales Representative,Nile Tex for Trading and marketing -,"Sheraton, Cairo, Egypt ","['sales', 'sales target', 'customer service', 'spare parts']",On-site,Full Time,Entry Level,Confidential,2 months ago
B2B Sales Manager– Industrial,Arma-HSA -,"New Cairo, Cairo, Egypt ","['b2b', 'b2b sales', 'sales', 'communication', 'negotiation', 'sales target']",On-site,Full Time,Manager,Confidential,2 months ago
Senior mechanical design engineer - Electrical panels,ElectraTec for Electric Industries  -,"10th of Ramadan City, Cairo, Egypt ","['mechanical design', 'sheet metal']",On-site,Full Time,Experienced,Confidential,2 months ago
Project Accountant,Concrete Plus -,"New Cairo, Cairo, Egypt ","['accounting', 'finance', 'microsoft excel', 'financial', 'financial analysis', 'financial management', 'erp', 'financial reporting', 'reporting']",On-site,Full Time,Experienced,Confidential,2 months ago
Area Sales Manager - Wiring devices,SAS For Electrical Industries Company   -,"Cairo, Egypt ","['business development', 'crm', 'customer service', 'management', 'negotiation', 'sales', 'sales target']",Hybrid,Full Time,Manager,Confidential,2 months ago
Math Teacher,AlAlson Azhari Language Schools -,"Giza, Egypt ","['education', 'math', 'mathematics', 'teaching']",On-site,Full Time,Entry Level,Confidential,2 months ago
Senior Accountant,Filkhedma -,"Cairo, Egypt ","['accounting', 'finance', 'financial analysis', 'financial management']",On-site,Full Time,Experienced,Confidential,2 months ago
Procurement Engineer,TEPCO S.A.E. -,"Obour City, Cairo, Egypt ","['engineering', 'erp', 'logistics', 'procurement', 'purchasing', 'sap', 'supply chain', 'shipping', 'manufacturing']",On-site,Full Time,Experienced,Confidential,2 months ago
Interior Designer,ElSafwa for Construction and Touristic Development  -,"New Cairo, Cairo, Egypt ","['autocad', 'design', 'interior design', 'furniture design', 'interior designer 3dsmax lumion modeling render revit software vray']",On-site,Full Time,Experienced,Confidential,2 months ago
Supply Chain Manager,Joy Glass -,"6th of October, Giza, Egypt ","['purchasing', 'supply chain', 'supply', 'procurement', 'planning', 'management', 'logistics']",On-site,Full Time,Manager,Confidential,2 months ago
Export Supply Chain Manager,Confidential -,"10th of Ramadan City, Sharqia, Egypt ","['supply chain', 'supply', 'purchasing', 'logistics', 'export', 'erp', 'management']",On-site,Full Time,Manager,Confidential,2 months ago
Site Technical Office Section Head,DME Holding -,"6th of October, Giza, Egypt ","['engineering', 'technical office', 'autocad', 'construction', 'architecture', 'civil engineering', 'management', 'microsoft office', 'quantity surveying']",On-site,Full Time,Manager,Confidential,2 months ago
Senior BIM Mechanical Engineer,ARX Developments  -,"Cairo, Egypt ","['autocad', 'design', 'bim', 'engineering', 'mechanical', 'mechanical engineering', 'revit', 'electrical engineering']",On-site,Full Time,Experienced,Confidential,2 months ago
Payroll Specialist,EGO - Group -,"Heliopolis, Cairo, Egypt ","['human resources (hr)', 'personnel', 'payroll']",On-site,Full Time,Experienced,Confidential,2 months ago
Sales Engineer-Instrumentation,RMS -,"Mohandessin, Giza, Egypt ","['engineering', 'sales target', 'sales']",On-site,Full Time,Experienced,Confidential,2 months ago
HR Administrative Assistant,Dora Management Solutions -,"Sheraton, Cairo, Egypt ","['administration', 'microsoft office', 'office management', 'hr', 'excel', 'powerpoint', 'word', 'data entry']",On-site,Full Time,Entry Level,Confidential,2 months ago
Receptionist,Petrogina Trading -,"Giza, Egypt ","['administration', 'receptionist', 'customer service', 'communication skills', 'organizational skills', 'time management', 'microsoft office suite', 'problem-solving', 'interpersonal skills']",On-site,Full Time,Experienced,Confidential,2 months ago
ERP Specialist,Confidential -,"Abu Rawash, Giza, Egypt ","['erp', 'computer science', 'information technology (it)', 'erp software', 'software development']",Hybrid,Part Time,Manager,Confidential,2 months ago
senior export sales specialist,Nature's Rule Egypt LLC  -,"New Cairo, Cairo, Egypt ","['export', 'export sales', 'logistics', 'sales', 'sales target', 'international trade', 'customer relationship management']",On-site,Full Time,Experienced,Confidential,2 months ago
Student Life Specialist,Nile University -,"Sheikh Zayed, Giza, Egypt ","['administration', 'student affairs', 'student activities']",On-site,Full Time,Experienced,Confidential,2 months ago
Unit Distribution Manager (Quena),Arma-HSA -,"Nagaa Hammadi, Qena, Egypt ","['identifying and evaluating opportunities', 'problem-solving', 'commitment', 'sales', 'sales field', 'sales target', 'sales planning', 'sales management']",On-site,Full Time,Manager,Confidential,2 months ago
Senior Sales Consultant,Design2Key -,"Cairo, Egypt ","['real estate', 'sales', 'sales target', 'communication', 'selling']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Tour Operator - Inbound Department,TRAVCO GROUP -,"Sheikh Zayed, Giza, Egypt ","['tour', 'tourism', 'travel', 'customer service', 'customer support']",On-site,Full Time,Experienced,Confidential,2 months ago
Interior Design Engineer,Hadecon for Decoration -,"Nozha, Cairo, Egypt ","['interior design', 'architectural design', 'architecture design', 'computer science', 'design', 'drawing', 'engineering', 'information technology (it)']",On-site,Full Time,Experienced,Confidential,2 months ago
Medical Sales Representative - Maadi,Orthomedics -,"Maadi, Cairo, Egypt ","['medical', 'medical sales', 'sales', 'sales target', 'medical devices sales', 'outdoor sales', 'veterinary medicine']",On-site,Part Time,Entry Level,Confidential,2 months ago
Storekeeper,Orthomedics -,"Heliopolis, Cairo, Egypt ","['supply chain', 'storekeeping', 'logistics', 'documentation', 'management', 'warehouse management', 'warehousing']",On-site,Full Time,Entry Level,Confidential,2 months ago
Senior Internal Auditor,Kreston -,"Cairo, Egypt ","['accounting', 'auditing', 'business administration', 'finance', 'financial analysis', 'risk management', 'cia']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Backend Engineer (Node.js / NestJS / TypeScript),tech technology  -,"Cairo, Egypt ","['node.js', 'software development', 'software engineering', 'typescript', 'nest', 'architecture', 'aws', 'computer science']",Remote,Full Time,Experienced,Confidential,2 months ago
Senior Logistic Specialist,Turbo Compression -,"Heliopolis, Cairo, Egypt ","['supply chain optimization', 'logistics management', 'vendor management', 'problem solving', 'team leadership', 'process improvement', 'erp and logistics software', 'negotiation']",On-site,Full Time,Experienced,Confidential,2 months ago
"HR Specialist (Recruitment, Personnel & Payroll)",Confidential -,"Cairo, Egypt ","['hr', 'hr specialist', 'human resources (hr)', 'microsoft office', 'payroll', 'personnel', 'recruitment', 'talent acquisition', 'hr systems']",On-site,Full Time,Experienced,Confidential,2 months ago
Sales & PR Representative,Confidential -,"Cairo, Egypt ","['customer service', 'sales target', 'sales', 'pr']",On-site,Full Time,Entry Level,Confidential,2 months ago
Experienced Manufacturing Engineer,Confidential -,"Alexandria, Egypt ","['engineering', 'mechanical engineering', 'production', 'manufacturing', 'process optimization', 'lean manufacturing', 'quality control']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Cost Accountant,Kandil Glass -,"10th of Ramadan City, Cairo, Egypt ","['business analysis', 'finance analysis', 'accounting', 'cost accounting', 'cost analysis', 'cost', 'finance', 'analytical']",On-site,Full Time,Experienced,Confidential,2 months ago
HR Business Partner,Confidential -,"6th of October, Giza, Egypt ","['human resources (hr)', 'recruitment']",On-site,Full Time,Experienced,Confidential,2 months ago
HR Business Partner (Located in Damietta),Confidential -,"New Damietta, Damietta, Egypt ","['human resources (hr)', 'recruitment']",On-site,Full Time,Experienced,Confidential,2 months ago
Insurance Account Executive,Partner & More -,"Heliopolis, Cairo, Egypt ","['customer support', 'customer service', 'medical insurance', 'communication']",On-site,Full Time,Entry Level,Confidential,2 months ago
HR Manager,Gazala Steel Fabrication GSF -,"New Cairo, Cairo, Egypt ","['human resources (hr)', 'recruitment']",On-site,Full Time,Manager,Confidential,2 months ago
Group Talent Acquistion Manager,Gazala Steel Fabrication GSF -,"New Cairo, Cairo, Egypt ","['talent management', 'recruitment', 'mass hire']",On-site,Full Time,Manager,Confidential,2 months ago
Mechanical Technical Office Engineer,High Art -,"Sheraton, Cairo, Egypt ","['mechanical engineering', 'mechanical', 'plumbing', 'autocad', 'construction', 'design', 'maintenance', 'technical office']",On-site,Full Time,Experienced,Confidential,2 months ago
Dental Sales & Service Engineer (Imaging & CAD/CAM),Confidential -,"Nasr City, Cairo, Egypt ","['cam', 'engineering', 'sales', 'dental', 'digital imaging', 'medical engineering', 'medical sales']",On-site,Full Time,Entry Level,Confidential,2 months ago
Export Sales Executive,Confidential -,"Smouha, Alexandria, Egypt ","['export', 'export sales', 'sales']",On-site,Full Time,Experienced,Confidential,2 months ago
Business Development Manager,MHI for Trading & Contracting -,"New Cairo, Cairo, Egypt ","['business development', 'marketing', 'sales']",On-site,Full Time,Manager,Confidential,2 months ago
Civil Procurement Engineer,Sinoma-cdi -,"New Cairo, Cairo, Egypt ","['civil engineering', 'procurement', 'purchasing', 'supply chain', 'civil', 'engineering', 'english', 'architecture']",On-site,Full Time,Entry Level,Confidential,2 months ago
SAP ERP Section Head,Confidential -,"New Cairo, Cairo, Egypt ","['enterprise resource planning', 'erp', 'sap', 'project management', 'erp implementation', 'information technology (it)']",On-site,Full Time,Senior Management,Confidential,2 months ago
Information Systems Department Manager,Confidential -,"New Cairo, Cairo, Egypt ","['information systems', 'computer science', 'project management']",On-site,Full Time,Senior Management,Confidential,2 months ago
Senior Mechanical Engineer,BARRIER21 -,"New Cairo, Cairo, Egypt ","['engineering', 'mechanical engineering', 'cad software', 'fea analysis', 'prototyping', 'design optimization', 'project management', 'problem-solving', 'technical documentation']",On-site,Full Time,Experienced,Confidential,2 months ago
General Accountant,Confidential -,"Nasr City, Cairo, Egypt ","['accounting', 'finance', 'accounting software', 'financial analysis', 'financial management', 'ifrs']",On-site,Full Time,Experienced,Confidential,2 months ago
Logistics Coordinator,aDispatcher -,"6th of October, Giza, Egypt ","['customer service', 'limoanywhere', 'communication', 'logistics', 'microsoft office', 'supply chain', 'transportation']",On-site,Full Time,Entry Level,Confidential,2 months ago
SEO Analyst,Pyramids Pharmacy   -,"Sheikh Zayed, Giza, Egypt ","['digital marketing', 'seo']",Remote,Freelance / Project,Experienced,Confidential,2 months ago
Senior Compensation & Benefits Specialist,iVein Clinic -,"Mahta Alraml, Alexandria, Egypt ","['compensation', 'human resources (hr)', 'payroll', 'personnel']",On-site,Full Time,Experienced,Confidential,2 months ago
Production Engineer,Khedr Company for Integrated Industries -,"10th of Ramadan City, Sharqia, Egypt ","['production', 'manufacturing', 'engineering', 'maintenance', 'management', 'mechanical engineering', 'safety', 'troubleshooting']",On-site,Full Time,Experienced,Confidential,2 months ago
Chief Medical Officer,iVein Clinic -,"New Cairo, Cairo, Egypt ","['clinical leadership', 'healthcare management', 'team supervision', 'quality assurance', 'strategic planning', 'regulatory compliance', 'patient care', 'data analysis', 'management']",On-site,Full Time,Senior Management,Confidential,2 months ago
Sales Account Manager,SOEMI -,"Heliopolis, Cairo, Egypt ","['b2b', 'b2b sales', 'communication', 'management', 'negotiation', 'sales target', 'sales', 'account management']",On-site,Full Time,Manager,Confidential,2 months ago
Senior Django Developer,TechJump -,"Alexandria, Egypt ","['computer science', 'django', 'information technology (it)', 'software development', 'software engineering', 'python', 'restful apis', 'postgresql']",Remote,Full Time,Experienced,Confidential,2 months ago
Sales Account Executive,Colorama Coatings -,"Obour City, Cairo, Egypt ","['sales', 'chemistry', 'communication', 'negotiation', 'organizational planning', 'technical support']",Hybrid,Full Time,Entry Level,Confidential,2 months ago
Senior Logistics and Shipping,AIG -,"Maadi, Cairo, Egypt ","['logistics', 'shipping', 'supply chain', 'logistics operations', 'logistics management', 'import', 'warehousing management', 'odoo']",On-site,Full Time,Experienced,Confidential,2 months ago
Technical Office Architect Engineer,Link International -,"Cairo, Egypt ","['autocad', 'cad', 'construction', 'engineering', 'technical office', 'technical', 'architectural engineering', 'architecture']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Structure Technical Office,Link International -,"Hurghada, Red Sea, Egypt ","['autocad', 'structure', 'technical office', 'civil engineering']",On-site,Full Time,Manager,Confidential,2 months ago
Production Engineer,Confidential -,"Nasr City, Cairo, Egypt ","['engineering', 'mechanical engineering', 'production', 'manufacturing']",On-site,Full Time,Experienced,Confidential,2 months ago
Call Center Agent (B1+ English Speakers) | New Account,Etisalat Egypt -,"New Nozha, Cairo, Egypt ","['call center', 'customer care', 'customer service', 'customer support', 'english', 'customer relations', 'custom clearance', 'customs clearance', 'customer satisfaction']",On-site,Full Time,Entry Level,Confidential,2 months ago
Quality Assurance Analyst,Medexera  -,"New Cairo, Cairo, Egypt ","['quality assurance', 'qa', 'communication', 'monitoring', 'quality control']",On-site,Full Time,Experienced,Confidential,2 months ago
B2B Sales Executive – Industrial Solutions (Alexandria),Trust Engineering Company    -,"Cairo, Egypt ","['b2b', 'b2b sales', 'sales', 'sales target', 'communication', 'negotiation', 'crm']",On-site,Full Time,Entry Level,Confidential,2 months ago
B2B Sales Executive – Industrial Solutions (Cairo),Trust Engineering Company    -,"Cairo, Egypt ","['b2b', 'b2b sales', 'sales', 'sales target', 'communication', 'crm', 'negotiation']",On-site,Full Time,Entry Level,Confidential,2 months ago
Executive Assistant For CEO,Master Global  -,"Cairo, Egypt ","['administration', 'management', 'office management', 'microsoft office', 'technical assistance', 'customer support']",On-site,Full Time,Experienced,Confidential,2 months ago
Product Specialist (Laboratory Medical Devices),ADI Egypt -,"Cairo, Egypt ","['product management', 'market research', 'cross-functional collaboration', 'data analysis', 'communication', 'presentation skills', 'problem solving', 'customer focus']",On-site,Full Time,Experienced,Confidential,2 months ago
Head of Office Administration,Arkania -,"Mansoura, Dakahlia, Egypt ","['team leadership', 'budget management', 'office administration', 'problem solving', 'organizational skills', 'communication']",On-site,Full Time,Manager,Confidential,2 months ago
Sales Manager – Automotive Business Operations (Sharm El Sheikh),Petro group Automotive -,"Sharm Alsheikh, South Sinai, Egypt ","['customer service', 'sales target', 'sales']",On-site,Full Time,Manager,Confidential,2 months ago
Video Creator,Hook Solutions -,"Cairo, Egypt ","['video editing', 'video montage', 'video production', 'video creation', 'video shooting', 'videography']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior HR Generalist,Professional Service - Proserv -,"Dokki, Giza, Egypt ","['hr', 'human resources (hr)', 'organization development', 'performance management', ""kpi's"", 'employee relations', 'hris', 'management', 'od']",On-site,Full Time,Experienced,Confidential,2 months ago
Finance & Insurance (F&I) Manager Automotive,Petro group Automotive -,"Moharam Bek, Alexandria, Egypt ","['finance', 'financial analysis', 'sales', 'accounting']",On-site,Full Time,Manager,Confidential,2 months ago
Customer Service manager,eldawlia scan -,"Heliopolis, Cairo, Egypt ","['customer service', 'customer support']",On-site,Full Time,Manager,Confidential,2 months ago
Senior Coordinator,MCV - Obour -,"Obour City, Cairo, Egypt ","['administration', 'coordination', 'project management', 'microsoft office', 'engineering']",On-site,Full Time,Experienced,Confidential,2 months ago
Backend Developer,Charisma Design -,"Nasr City, Cairo, Egypt ","['agile', 'computer science', 'api', 'information technology (it)', 'php', 'laravel', 'software development']",On-site,Full Time,Experienced,Confidential,2 months ago
Procurement & Sales Specialist,House Babylon -,"Cairo, Egypt ","['procurement', 'sales target', 'sales', 'purchasing', 'negotiation', 'fashion retail', 'fashion sales']",On-site,Full Time,Experienced,Confidential,2 months ago
Graphic Designer Intern,Autovroom -,"Obour City, Cairo, Egypt ","['creative', 'premiere', 'adobe illustrator', 'adobe photoshop', 'adobe premiere', 'communication', 'design', 'graphic design']",Hybrid,Internship,Student,Confidential,2 months ago
Ocean Freight Commercial Specialist,First Global Logistics   -,"Sheraton, Cairo, Egypt ","['ocean freight', 'logistics', 'supply chain', 'shipping', 'commercial sales', 'pricing', 'freight forwarding']",On-site,Full Time,Experienced,Confidential,2 months ago
Sales Representative – Alexandria,Petro group Automotive -,"Moharam Bek, Alexandria, Egypt ","['sales', 'customer care', 'sales target']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Technical Office Architect,Confidential -,"Sheraton, Cairo, Egypt ","['architecture', 'engineering', 'technical office', 'autocad', 'bim', 'communication', 'construction', 'design']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Technical Office Architect Engineer,EGYGAB Developments -,"Heliopolis, Cairo, Egypt ","['architectural engineering', 'technical office', 'bim', 'autocad software', 'bim modeling', 'technical office engineering', 'bim software', 'autodesk revit']",On-site,Full Time,Experienced,Confidential,2 months ago
Photographer & Videographer Intern,Autovroom -,"Obour City, Cairo, Egypt ","['photography', 'videography', 'adobe premiere', 'lighting', 'camera angles', 'camera operation', 'creative', 'premiere']",Hybrid,Internship,Student,Confidential,2 months ago
Video Editor Intern,Autovroom -,"Obour City, Cairo, Egypt ","['adobe photoshop', 'adobe premiere', 'creative', 'photography', 'premiere', 'video editing', 'after effects', 'motion graphics']",Hybrid,Internship,Student,Confidential,2 months ago
Talent Acquisition Supervisor,BDO Esnad -,"Mohandessin, Giza, Egypt ","['human resources (hr)', 'interviewing', 'recruitment', 'talent acquisition', 'hr', 'hr diploma', 'english', 'communication']",On-site,Full Time,Manager,Confidential,2 months ago
Senior Marketing Specialist,Confidential -,"10th of Ramadan City, Cairo, Egypt ","['e-marketing', 'english', 'social media', 'marketing', 'communication', 'public relations (pr)', 'digital marketing', 'business administration']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Brand Manager (EVA Cosmetics),Akhnaton Trading and distribution - EVA Group Limted -,"Abdeen, Cairo, Egypt ","['brand management', 'marketing', 'fmcg', 'personal care', 'brand']",On-site,Full Time,Manager,Confidential,2 months ago
Sales Teamleader,Green island -,"New Cairo, Cairo, Egypt ","['real estate', 'sales target', 'sales', 'sales field', 'outdoor sales', 'indoor sales', 'sales planning']",On-site,Full Time,Manager,Confidential,2 months ago
Treasury Accountant,Cairoscan -,"Dokki, Giza, Egypt ","['accounting', 'finance', 'treasury', 'financial analysis', 'cash management', 'risk management', 'financial reporting']",On-site,Full Time,Experienced,Confidential,2 months ago
Technical Office Manager,Confidential -,"Aswan, Aswan, Egypt ","['technical office', 'autocad', 'construction', 'erp', 'engineering', 'management', 'microsoft office', 'administration', 'communication']",On-site,Full Time,Manager,Confidential,2 months ago
Architecture Technical Office Engineer,Core Construction and Finishing  Egypt -,"Heliopolis, Cairo, Egypt ","['architecture', 'autocad', 'engineering', 'microsoft office', 'technical office']",On-site,Full Time,Experienced,Confidential,2 months ago
Packaging Lead,Elabd Foods -,"Cairo, Egypt ","['hadoop', 'docker']",On-site,Full Time,Manager,Confidential,2 months ago
Senior Financial Analyst,BDO Esnad -,"Cairo, Egypt ","['accounting', 'financial', 'financial analysis', 'financial management']",On-site,Full Time,Senior Management,Confidential,2 months ago
HVAC Maintenance Engineer,El Mohandess Print House -,"10th of Ramadan City, Sharqia, Egypt ","['hvac', 'maintenance', 'repair']",On-site,Full Time,Experienced,Confidential,2 months ago
R&D Engineer,Elabd Foods -,"Cairo, Egypt ","['r&d', 'engineering']",On-site,Full Time,Experienced,Confidential,2 months ago
ERP Specialist (accountant),Softex -,"Cairo, Egypt ","['erp', 'erp implementation']",On-site,Full Time,Experienced,Confidential,2 months ago
Design Engineer,Kandil Steel -,"10th of Ramadan City, Cairo, Egypt ","['design', 'engineering']",On-site,Full Time,Experienced,Confidential,2 months ago
Full-Stack Web Developer,Generator -,"Heliopolis, Cairo, Egypt ","['php web development', 'web', 'web development', 'php', 'laravel', 'git']",On-site,Full Time,Experienced,Confidential,2 months ago
Last Mile Manager,Misr No Dust Service -,"Abu Rawash, Giza, Egypt ","['last mile delivery', 'logistics operations', 'courier management', 'logistics', 'startup', 'supply chain']",On-site,Full Time,Manager,Confidential,2 months ago
Senior Account Manager,Generator -,"Heliopolis, Cairo, Egypt ","['customer service', 'marketing']",On-site,Full Time,Experienced,Confidential,2 months ago
Creative Copywriter,Generator -,"Heliopolis, Cairo, Egypt ","['copywriting', 'creative', 'ux writing', 'branding', 'writing', 'marketing', 'content creation']",On-site,Full Time,Experienced,Confidential,2 months ago
Contract Engineer,Hyundai Rotem -,"Cairo, Egypt ","['construction', 'contracting', 'engineering', 'microsoft office', 'contract management', 'civil engineering', 'fidic']",On-site,Full Time,Experienced,Confidential,2 months ago
Science Teacher,Badr Tigers' Modern Language Schools -,"Hadayek October, Giza, Egypt ","['teaching', 'chemistry', 'science', 'biology', 'physics', 'technology', 'communication', 'computer science']",On-site,Full Time,Experienced,Confidential,2 months ago
Senior Brand Manager,Confidential -,"Downtown, Cairo, Egypt ","['brand marketing', 'branding', 'brand management', 'marketing', 'strategic planning', 'market research', 'product launch']",On-site,Full Time,Experienced,Confidential,2 months ago
Math Teacher,Badr Tigers' Modern Language Schools -,"Hadayek October, Giza, Egypt ","['math', 'mathematics', 'teaching', 'schools']",On-site,Full Time,Experienced,Confidential,2 months ago
ASP.NET Developer (AI-Assisted Development),Roaya -,"Maadi, Cairo, Egypt ","['.net', 'ai', 'asp', 'asp.net', 'computer science', 'information technology (it)', 'development']",On-site,Full Time,Experienced,Confidential,2 months ago
Personnel Specialist,National technology group -,"6th of October, Giza, Egypt ","['human resources (hr)', 'personnel']",On-site,Full Time,Entry Level,Confidential,2 months ago
Treasury Accountant,Petromin  -,"Maadi, Cairo, Egypt ","['financial reporting', 'erp systems', 'data analysis', 'attention to detail', 'problem solving', 'communication', 'ifrs', 'finance', 'erp']",On-site,Full Time,Entry Level,Confidential,2 months ago
General Ledger & Taxation Accountant,Petromin  -,"Maadi, Cairo, Egypt ","['financial reporting', 'erp systems', 'data analysis', 'attention to detail', 'problem solving', 'communication', 'ifrs', 'finance', 'erp']",On-site,Full Time,Entry Level,Confidential,2 months ago
Training Coordinator,SKILLFIELD -,"Cairo, Egypt ","['training delivery', 'coordination', 'digital marketing', 'curriculum development', 'logistics management', 'communication skills', 'organizational skills', 'presentation skills', 'microsoft office suite']",On-site,Full Time,Entry Level,Confidential,2 months ago
Sr.Full Stack Java Developer,Clinizone -,"Sheraton, Cairo, Egypt ","['jwt/oauth2', 'java', 'software development', 'javascript', 'restful  apis and', 'microservices', 'fhir, hl7, dicom, cda, and ihe profiles.', 'maven/gradle, and ci/cd tools', 'angular']",Remote,Full Time,Experienced,Confidential,2 months ago
Maintenance Manager (Oil & Gas),Oil & Gas Services (Free Zone) -,"Cairo, Egypt ","['preventive maintenance', 'maintenance engineering', 'commitment', 'problem-solving', 'communication skills', 'maintenance management', 'communication']",On-site,Full Time,Manager,Confidential,2 months ago
Rig Mechanic,Oil & Gas Services (Free Zone) -,"New Cairo, Cairo, Egypt ","['rig mechanical maintenance', 'troubleshooting and diagnostics', 'preventive maintenance', 'team leadership', 'technical documentation', 'safety compliance', 'equipment inspection']",On-site,Full Time,Experienced,Confidential,2 months ago
